,order,captiontime,caption,command,speed,item,m1,lorr,boxnum,emojistella,emojiben,who,talk,fadebefore,fadewho,fadeframe,fadetime,xstella,ystella,xstellasay,ystellasay,xben,yben,xbensay,ybensay,xm1,ym1,xitem,yitem,xleft,yleft,xright,yright,time,autotime,musictip,music,musictime,musicwait
cpt0,0,,,,,,,special,,,,chapter,Chapter 0,,,,,,,,,,,,,,,,,,,,,,4,,,,
start,1,300,*蝉鸣声,offposition,,1,1,special,start,,,newepisode,gamestart,,,,,644,97,699,322,700,205,542,549,959,567,682,48,,,,,,9,,,,
10,2,,,,6,1,1,19,,,,ben,Stella,,,,,,,,,,,,,,,,,,,,,,6,,,,
20,3,,,,,,,special,,6,,,,,fadeoutandin,,100,,,,,,,,,,,,,,,,,,0,,gamestart,,
30,4,,,,,,,special,,7,,,gradual,,stella,,80,,,,,,,,,,,,,,,,,,7,,,,
40,5,,,offposition,6,,,1,,7,,ben,那个蛋糕你吃了吗?,,,,,644,97,380,517,700,205,1418,549,959,567,682,48,,,,,,9,,,,
50,6,,,,6,,,1,,7,,ben,感觉怎么样？,,,,,,,,,,,,,,,,,,,,,,6,,,,
51,7,,,,12,,,3,,7,,stella,…,,,,,,,,,,,,,,,,,,,,,,1,,,,
60,8,,,,12,,,2,,41,,stella,什么蛋糕？,,stella,,80,,,,,,,,,,,,,,,,,,5,,,,
70,9,,,,6,,,1,,7,,ben,那个快递,,stella,,80,,,,,,,,,,,,,,,,,,4,,,,
80,10,,,,6,,,1,,7,,ben,你没拿吗？,,,,,,,,,,,,,,,,,,,,,,5,,,,
82,11,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
90,12,,,,12,,,3,,8,,stella,啊……,,stella,,80,,,,,,,,,,,,,,,,,,3,,,,
100,13,,,,12,,,2,,8,,stella,没有……,,,,,,,,,,,,,,,,,,,,,,4,,,,
101,14,,,,,,,special,,9,,,gradual,,stella,,80,,,,,,,,,,,,,,,,,,7,,,,
110,15,,,,6,,,1,,9,,ben,那完了,,,,,,,,,,,,,,,,,,,,,,3,,,,
120,16,,,,6,,,1,,9,,ben,这么热的天，放几天肯定坏了,,,,,,,,,,,,,,,,,,,,,,13,,,,
130,17,,,,,,,,,9,,,（明显难过,,,,,,,,,,,,,,,,,,,,,,5,,,,
131,18,,,,,,,special,,8,,,gradual,,stella,,80,,,,,,,,,,,,,,,,,,7,,,,
140,19,,,,12,,,3,,8,,stella,…,,,,,,,,,,,,,,,,,,,,,,1,,,,
150,20,,,,,,,special,,9,,,gradual,,stella,,80,,,,,,,,,,,,,,,,,,7,,,,
160,21,,,offposition,,,,special,,,15,,,,fadeoutandin,,100,644,97,699,322,700,205,1450,500,959,567,682,48,,,,,,0,,,,
170,22,,,,,,,special,,,16,,gradual,,ben,,50,,,,,,,,,,,,,,,,,,7,,,,
180,23,,,,6,,,4,,,17,ben,没事,,ben,,30,,,,,,,,,,,,,,,,,,2,,,,
181,24,,,,6,,,4,,,17,ben,我去看看,,,,,,,,,,,,,,,,,,,,,,4,,,,
190,25,600,*脚步声远离，关门离开,,,1,1,special,,,,,,,fadeoutandin,,220,,,,,,,,,,,,,,,,,,0,nofade,Stella_Foley_Get Delivery_120325,,
200,26,,,,,1,1,special,,,,,sunmove,,,,,,,,,,,,,,,,,,,,,,7,,,,
201,27,,,,,1,,special,,,,,,,fadeout,,80,,,,,,,,,,,,,,,,,,0,,,,
210,28,350,*打开快递箱,offposition,,2,,special,,,,,,,fadein,,200,644,97,601,469,700,205,932,314,864,197,526,344,,,,,,0,nofade,Stella_Foley_Open Box_120325,,
211,29,,,,,2,2,special,,,,,gradual,,m1,,45,,,,,,,,,,,,,,,,,,7,,,,
212,30,,,,,2,2,special,,,,,fadeout,,m1,,35,,,,,,,,,,,,,,,,,,7,,,,
220,31,,,,6,2,,6,,,,ben,不行了,,,,,,,,,,,,,,,,,,,,,,3,,,,
230,32,,,,6,2,,6,,,,ben,不能吃了,,,,,,,,,,,,,,,,,,,,,,4,,,,
231,33,,,,6,2,,6,,,,ben,还说没太坏的话 我凑合吃了呢,,,,,,,,,word,,,,,,,,,,,,,14,,,,
240,34,,,offposition,,,,special,,27,,,,,fadeoutandin,,100,687,97,457,478,687,97,1392,549,864,197,526,344,,,,,,0,,,,
241,35,,,,,,,special,,28,,,gradual,,stella,,80,,,,,,,,,,,,,,,,,,7,,,,
250,36,,,,18,,,2,,28,,stella,对不起,,,,,,,,,,,,,,,,,,,,,,3,,,,
252,37,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
251,38,,,,,,,special,,29,,,gradual,,stella,,80,,,,,,,,,,,,,,,,,,7,,,,
260,39,,,,6,,,1,,29,,ben,嗯？,,,,,,,,,,,,,,,,,,,,,,2,,,,
270,40,,,,12,,,2,,28,,stella,你送我的蛋糕,,,,,,,,,,,,,,,,,,,,,,6,,,,
280,41,,,,18,,,2,,28,,stella,浪费了,,,,,,,,,,,,,,,,,,,,,,3,,,,
282,42,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
281,43,,,,,,,special,,29,,,gradual,,stella,,80,,,,,,,,,,,,,,,,,,7,,,,
290,44,,,,6,,,1,,29,,ben,嗯……,,,,,,,,,,,,,,,,,,,,,,3,,,,
300,45,,,,6,,,1,,29,,ben,那没办法,,,,,,,,,,,,,,,,,,,,,,4,,,,
