,order,captiontime,caption,command,speed,item,m1,lorr,boxnum,emojistella,emojiben,who,talk,fadebefore,fadewho,fadeframe,fadetime,xstella,ystella,xstellasay,ystellasay,xben,yben,xbensay,ybensay,xm1,ym1,xitem,yitem,xleft,yleft,xright,yright,time,autotime,musictip,music,musictime,musicwait
cpt0,0,,,,nicknamewait,,,special,,,,chapter,Chapter 0,,,,,,,,,,,,,,,,,,,,,1010,4,,,,
start,1,300,*蝉鸣声,offposition,,1,1,special,start,,,newepisode,gamestart,,,,,644,97,699,322,700,205,542,549,959,567,682,48,,,,,,9,,,,
10,2,,,,6,1,1,19,,,,ben,Stella,,,,,,,,,,,,,,,,,,,,,,6,,,,
20,3,,,,,,,special,,6,,,,,fadeoutandin,,100,,,,,,,,,,,,,,,,,,0,,gamestart,,
30,4,,,,,,,special,,7,,,gradual,,stella,,80,,,,,,,,,,,,,,,,,,7,,,,
40,5,,,offposition,6,,,1,,7,,ben,那个蛋糕你吃了吗?,,,,,644,97,380,517,700,205,1418,549,959,567,682,48,,,,,,9,,,,
50,6,,,,6,,,1,,7,,ben,感觉怎么样？,,,,,,,,,,,,,,,,,,,,,,6,,,,
51,7,,,,12,,,3,,7,,stella,…,,,,,,,,,,,,,,,,,,,,,,1,,,,
60,8,,,,12,,,2,,41,,stella,什么蛋糕？,,stella,,80,,,,,,,,,,,,,,,,,,5,,,,
70,9,,,,6,,,1,,7,,ben,那个快递,,stella,,80,,,,,,,,,,,,,,,,,,4,,,,
80,10,,,,6,,,1,,7,,ben,你没拿吗？,,,,,,,,,,,,,,,,,,,,,,5,,,,
82,11,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
90,12,,,,12,,,3,,8,,stella,啊……,,stella,,80,,,,,,,,,,,,,,,,,,3,,,,
100,13,,,,12,,,2,,8,,stella,没有……,,,,,,,,,,,,,,,,,,,,,,4,,,,
101,14,,,,,,,special,,9,,,gradual,,stella,,60,,,,,,,,,,,,,,,,,,7,,,,
110,15,,,,6,,,1,,9,,ben,那完了,,,,,,,,,,,,,,,,,,,,,,3,,,,
120,16,,,,6,,,1,,9,,ben,这么热的天，放几天肯定坏了,,,,,,,,,,,,,,,,,,,,,,13,,,,
